股票代码,股票简称,总股本,流通股,总市值,流通市值,行业,上市时间
300947,德必集团,153603596.0,153554881.0,2790977339.32,2790092187.7700005,专业服务,20210210
002106,莱宝高科,705816160.0,704050820.0,7728686951.999999,7709356478.999999,光学光电子,20070112
688051,佳华科技,77334000.0,77334000.0,1861429380.0,1861429380.0,互联网服务,20200320
000948,南天信息,393744987.0,385944338.0,7441780254.299999,7294347988.2,软件开发,19991014
603712,七一二,772000000.0,772000000.0,17323680000.0,17323680000.0,通信设备,20180226
430478,峆一药业,56220500.0,34233522.0,1371217995.0,834955601.58,化学制药,20230223
301009,可靠股份,271860000.0,130557707.0,2680539600.0,1287298991.02,美容护理,20210617
688319,欧林生物,405933600.0,405409300.0,4716948432.0,4710856066.0,生物制品,20210608
000627,天茂集团,4940629165.0,4552504165.0,24357301783.449997,22443845533.449997,保险,19961112
002841,视源股份,696016545.0,521353883.0,27854582130.9,20864582397.66,消费电子,20170119
300887,谱尼测试,545758376.0,362168583.0,5293856247.2,3513035255.1,专业服务,20200916
300711,广哈通信,249170606.0,248426804.0,6107171553.06,6088940966.04,通信设备,20171101
300854,中兰环保,101043500.0,56167788.0,1435828135.0,798144267.48,环保行业,20210916
600601,方正科技,4170293287.0,4170293287.0,18682913925.760002,18682913925.760002,电子元件,19901219
