序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
120,603662,柯力传感,56.62,6.89,3.65,466748.0,2623137139.0,12.44,58.27,51.68,51.68,52.97,1.38,16.62,62.74,6.12,15947556700.0,15900587126.0,0.04,0.09,147.57,58.78
121,301076,新瀚新材,25.71,6.86,1.65,215732.0,536333338.61,14.09,26.25,22.86,23.57,24.06,2.51,31.12,62.08,3.05,3458612040.0,1782423523.0,0.16,0.31,54.51,-23.87
122,833580,科创新材,17.0,6.85,1.09,135334.0,223611929.75,17.54,18.0,15.21,16.3,15.91,2.61,24.21,140.61,4.45,1462000000.0,950360537.0,0.53,-0.7,220.15,110.92
123,002134,天津普林,19.07,6.83,1.22,483893.0,935006408.22,4.43,19.64,18.85,18.85,17.85,2.06,19.68,113.65,9.84,4688355076.0,4688355076.0,-0.1,-0.21,143.55,73.84
124,688017,绿的谐波,132.54,6.81,8.45,112686.0,1467274000.0,11.94,136.4,121.58,121.89,124.09,1.52,6.68,285.15,11.04,22367963065.0,22367963065.0,-0.01,0.11,112.92,-13.49
125,301380,挖金客,48.1,6.72,3.03,86128.0,400476997.0,10.61,48.48,43.7,44.5,45.07,1.41,28.56,72.34,4.85,3363431750.0,1450546746.0,0.0,0.25,49.38,2.8
126,603256,宏和科技,10.1,6.65,0.63,410861.0,415375711.0,11.83,10.42,9.3,9.39,9.47,1.5,4.67,862.44,6.19,8885247750.0,8885247750.0,0.1,1.1,41.06,21.39
127,300657,弘信电子,21.88,6.63,1.36,479324.0,1022809327.35,6.53,22.0,20.66,20.74,20.52,2.04,10.5,146.52,8.05,10686412025.0,9991740448.0,0.0,0.0,51.31,12.84
128,300695,兆丰股份,46.79,6.61,2.9,23835.0,110281108.75,7.04,47.88,44.79,45.24,43.89,4.74,3.36,27.16,1.3,3318808711.0,3318808711.0,0.0,0.15,42.48,-10.45
129,871478,巨能股份,36.41,6.59,2.25,137616.0,507309979.33,23.27,41.45,33.5,34.43,34.16,1.36,59.83,-385.78,10.63,2784603922.0,837430000.0,-0.49,0.69,227.13,83.89
130,833454,同心传动,18.72,6.48,1.14,131060.0,242189525.18,21.96,20.6,16.74,17.11,17.58,2.71,22.24,98.99,6.34,1967472000.0,1103405940.0,-0.11,-0.58,163.66,115.17
131,002514,宝馨科技,8.08,6.46,0.49,780254.0,617239361.32,7.38,8.1,7.54,7.59,7.59,2.3,14.08,-26.4,7.39,5817876853.0,4476596853.0,0.0,0.37,52.74,-7.97
132,603708,家家悦,11.46,6.41,0.69,215038.0,248024516.0,11.42,11.85,10.62,10.74,10.77,2.13,3.37,29.19,3.01,7315351291.0,7315351291.0,0.53,0.0,54.45,-10.26
